# EPIC|Teff|sTeff+|sTeff-|logg|slogg+|slogg-|FeH|sFeH+|sFeH-|Rad|sRad+|sRad-|Mass|sMass+|sMass-|rho|srho+|srho-|dis|dis+|dis-|ebv|ebv+|ebv-|prov
   210460485 | 4991 |   49 |   49 | 3.155 | 0.020 | 0.020 | -0.508 | 0.050 | 0.050 |   4.580 |   0.092 |   0.092 |   1.094 |   0.022 |   0.022 | 1.138e-02 | 6.828e-04 | 6.828e-04 | 6.578e+02 | 1.973e+01 | 1.973e+01 | 0.9638 | 0.0010 | 0.0010 |   rpm
   210460489 | 5992 |  224 |  186 | 3.876 | 0.513 | 0.162 |  0.057 | 0.090 | 0.150 |   2.171 |   0.500 |   1.098 |   1.389 |   0.195 |   0.312 | 1.209e-01 | 7.076e-01 | 4.804e-02 | 6.558e+02 | 1.510e+02 | 3.316e+02 | 0.5766 | 0.1020 | 0.1020 |   rpm
   210460519 | 4845 |  177 |  177 | 4.631 | 0.035 | 0.035 | -0.185 | 0.180 | 0.150 |   0.692 |   0.066 |   0.051 |   0.741 |   0.066 |   0.037 | 2.237e+00 | 3.913e-01 | 3.330e-01 | 1.868e+02 | 3.207e+01 | 1.761e+01 | 0.2508 | 0.0990 | 0.1386 |   rpm
   210460609 | 8346 |  642 |  535 | 4.161 | 0.090 | 0.144 | -0.053 | 0.120 | 0.100 |   1.850 |   0.424 |   0.224 |   1.887 |   0.218 |   0.182 | 2.728e-01 | 1.081e-01 | 1.019e-01 | 4.143e+02 | 9.002e+01 | 5.428e+01 | 0.2986 | 0.1160 | 0.1392 |   rpm
   210460630 | 5006 |  220 |  125 | 3.511 | 0.162 | 0.405 | -0.538 | 0.350 | 0.250 |   2.866 |   1.193 |   0.527 |   0.954 |   0.088 |   0.070 | 4.069e-02 | 3.002e-02 | 2.840e-02 | 6.006e+02 | 1.868e+02 | 1.056e+02 | 0.5084 | 0.1290 | 0.1548 |   rpm
   210460714 | 4829 |  120 |  150 | 2.441 | 0.462 | 0.070 | -0.338 | 0.200 | 0.240 |  10.512 |   0.972 |   3.952 |   1.123 |   0.198 |   0.169 | 9.403e-04 | 3.816e-03 | 1.865e-04 | 1.372e+03 | 1.561e+02 | 4.805e+02 | 0.5264 | 0.0732 | 0.1220 |   rpm
   210460779 | 5945 |  236 |  236 | 4.210 | 0.220 | 0.264 | -0.049 | 0.150 | 0.210 |   1.307 |   0.596 |   0.351 |   1.086 |   0.220 |   0.110 | 4.608e-01 | 6.194e-01 | 2.950e-01 | 4.325e+02 | 1.921e+02 | 1.141e+02 | 0.5033 | 0.1188 | 0.1782 |   rpm
   210460801 | 4763 |  147 |  118 | 2.457 | 0.425 | 0.102 | -0.258 | 0.200 | 0.240 |  10.936 |   0.621 |   4.347 |   1.214 |   0.259 |   0.222 | 9.446e-04 | 3.179e-03 | 2.281e-04 | 1.397e+03 | 1.376e+02 | 4.960e+02 | 0.3675 | 0.1184 | 0.1480 |   rpm
   210460802 | 5492 |   54 |  177 | 3.902 | 0.020 | 0.278 |  0.007 | 0.050 | 0.880 |   1.957 |   0.448 |   0.039 |   1.115 |   0.022 |   0.225 | 1.494e-01 | 8.966e-03 | 8.568e-02 | 3.287e+02 | 1.412e+02 | 9.860e+00 | 0.5336 | 0.0010 | 0.0384 |   rpm
   210460860 | 6406 |  326 |  272 | 3.869 | 0.252 | 0.180 |  0.001 | 0.120 | 0.150 |   2.348 |   0.799 |   0.759 |   1.556 |   0.235 |   0.281 | 1.030e-01 | 1.914e-01 | 4.958e-02 | 3.380e+02 | 1.150e+02 | 1.093e+02 | 0.4335 | 0.1284 | 0.1070 |   rpm
   210460953 | 5974 |  253 |  253 | 4.043 | 0.322 | 0.230 | -0.063 | 0.160 | 0.200 |   1.538 |   0.677 |   0.470 |   1.144 |   0.217 |   0.136 | 2.641e-01 | 4.600e-01 | 1.678e-01 | 4.653e+02 | 2.011e+02 | 1.593e+02 | 0.3931 | 0.1092 | 0.1092 |   rpm
   210460963 | 5310 |  161 |  129 | 4.511 | 0.055 | 0.583 | -0.025 | 0.120 | 0.160 |   0.867 |   0.941 |   0.084 |   0.944 |   0.077 |   0.092 | 1.353e+00 | 3.040e-01 | 1.184e+00 | 1.740e+02 | 1.854e+02 | 2.035e+01 | 0.2657 | 0.0918 | 0.0510 |   rpm
   210460996 | 4038 |  236 |  118 | 1.524 | 0.238 | 0.204 |  0.018 | 0.150 | 0.330 |  32.371 |   7.915 |   7.473 |   1.296 |   0.202 |   0.168 | 3.558e-05 | 3.944e-05 | 1.647e-05 | 1.072e+03 | 2.348e+02 | 2.268e+02 | 0.4661 | 0.2814 | 0.1608 |   rpm
